"Test","Group","Participant","word","nTrials","nCorrect","Accuracy"
"post","LV","VID_Listener4","hud",6,1,0.166666666666667
"post","LV","VID_Listener4","whod",5,2,0.4
"post","LV","VID_Listener5","had",6,2,0.333333333333333
"post","LV","VID_Listener5","haired",6,3,0.5
"post","LV","VID_Listener5","hard",6,4,0.666666666666667
"post","LV","VID_Listener5","hayed",6,3,0.5
"post","LV","VID_Listener5","head",7,0,0
"post","LV","VID_Listener5","hear",7,3,0.428571428571429
"post","LV","VID_Listener5","heard",7,1,0.142857142857143
"post","LV","VID_Listener5","heed",7,6,0.857142857142857
"post","LV","VID_Listener5","hid",7,4,0.571428571428571
"post","LV","VID_Listener5","hide",7,6,0.857142857142857
"post","LV","VID_Listener5","hoard",7,3,0.428571428571429
"post","LV","VID_Listener5","hod",7,4,0.571428571428571
"post","LV","VID_Listener5","hoed",7,3,0.428571428571429
"post","LV","VID_Listener5","hood",6,5,0.833333333333333
"post","LV","VID_Listener5","howd",7,6,0.857142857142857
"post","LV","VID_Listener5","hoyd",7,6,0.857142857142857
"post","LV","VID_Listener5","hud",7,3,0.428571428571429
"post","LV","VID_Listener5","whod",6,2,0.333333333333333
"pre","HV","VID_Listener1","had",6,5,0.833333333333333
"pre","HV","VID_Listener1","haired",6,2,0.333333333333333
"pre","HV","VID_Listener1","hard",6,4,0.666666666666667
"pre","HV","VID_Listener1","hayed",6,3,0.5
"pre","HV","VID_Listener1","head",6,6,1
"pre","HV","VID_Listener1","hear",6,4,0.666666666666667
"pre","HV","VID_Listener1","heard",6,1,0.166666666666667
"pre","HV","VID_Listener1","heed",6,1,0.166666666666667
"pre","HV","VID_Listener1","hid",6,3,0.5
"pre","HV","VID_Listener1","hide",6,6,1
"pre","HV","VID_Listener1","hoard",6,0,0
"pre","HV","VID_Listener1","hod",6,3,0.5
"pre","HV","VID_Listener1","hoed",5,0,0
"pre","HV","VID_Listener1","hood",6,1,0.166666666666667
"pre","HV","VID_Listener1","howd",6,5,0.833333333333333
"pre","HV","VID_Listener1","hoyd",6,1,0.166666666666667
"pre","HV","VID_Listener1","hud",6,3,0.5
"pre","HV","VID_Listener1","whod",7,2,0.285714285714286
"pre","HV","VID_Listener2","had",7,4,0.571428571428571
"pre","HV","VID_Listener2","haired",7,0,0
"pre","HV","VID_Listener2","hard",7,3,0.428571428571429
"pre","HV","VID_Listener2","hayed",7,1,0.142857142857143
"pre","HV","VID_Listener2","head",7,2,0.285714285714286
"pre","HV","VID_Listener2","hear",7,6,0.857142857142857
"pre","HV","VID_Listener2","heard",7,1,0.142857142857143
"pre","HV","VID_Listener2","heed",7,2,0.285714285714286
"pre","HV","VID_Listener2","hid",7,5,0.714285714285714
"pre","HV","VID_Listener2","hide",7,6,0.857142857142857
"pre","HV","VID_Listener2","hoard",7,1,0.142857142857143
"pre","HV","VID_Listener2","hod",7,1,0.142857142857143
"pre","HV","VID_Listener2","hoed",7,0,0
"pre","HV","VID_Listener2","hood",7,4,0.571428571428571
"pre","HV","VID_Listener2","howd",7,7,1
"pre","HV","VID_Listener2","hoyd",7,0,0
"pre","HV","VID_Listener2","hud",7,2,0.285714285714286
"pre","HV","VID_Listener2","whod",6,0,0
"pre","HV","VID_Listener3","had",5,3,0.6
"pre","HV","VID_Listener3","haired",6,0,0
"pre","HV","VID_Listener3","hard",6,0,0
"pre","HV","VID_Listener3","hayed",6,1,0.166666666666667
"pre","HV","VID_Listener3","head",6,4,0.666666666666667
"pre","HV","VID_Listener3","hear",6,5,0.833333333333333
"pre","HV","VID_Listener3","heard",6,0,0
"pre","HV","VID_Listener3","heed",6,1,0.166666666666667
"pre","HV","VID_Listener3","hid",6,2,0.333333333333333
"pre","HV","VID_Listener3","hide",6,5,0.833333333333333
"pre","HV","VID_Listener3","hoard",6,0,0
"pre","HV","VID_Listener3","hod",6,0,0
"pre","HV","VID_Listener3","hoed",6,0,0
"pre","HV","VID_Listener3","hood",6,1,0.166666666666667
"pre","HV","VID_Listener3","howd",6,4,0.666666666666667
"pre","HV","VID_Listener3","hoyd",6,1,0.166666666666667
"pre","HV","VID_Listener3","hud",6,0,0
"pre","HV","VID_Listener3","whod",7,0,0
"pre","HV","VID_Listener4","had",6,0,0
"pre","HV","VID_Listener4","haired",6,1,0.166666666666667
"pre","HV","VID_Listener4","hard",6,1,0.166666666666667
"pre","HV","VID_Listener4","hayed",6,2,0.333333333333333
"pre","HV","VID_Listener4","head",6,3,0.5
"pre","HV","VID_Listener4","hear",6,3,0.5
"pre","HV","VID_Listener4","heard",6,0,0
"pre","HV","VID_Listener4","heed",6,0,0
"pre","HV","VID_Listener4","hid",6,1,0.166666666666667
"pre","HV","VID_Listener4","hide",6,0,0
"pre","HV","VID_Listener4","hoard",6,2,0.333333333333333
"pre","HV","VID_Listener4","hod",6,1,0.166666666666667
"pre","HV","VID_Listener4","hoed",6,0,0
"pre","HV","VID_Listener4","hood",6,0,0
"pre","HV","VID_Listener4","howd",6,0,0
"pre","HV","VID_Listener4","hoyd",6,0,0
"pre","HV","VID_Listener4","hud",6,0,0
"pre","HV","VID_Listener4","whod",6,1,0.166666666666667
"pre","HV","VID_Listener5","had",5,2,0.4
"pre","HV","VID_Listener5","haired",6,0,0
"pre","HV","VID_Listener5","hard",6,3,0.5
"pre","HV","VID_Listener5","hayed",6,4,0.666666666666667
"pre","HV","VID_Listener5","head",6,0,0
