participant,group,speaker,image1,image2,image3,target,response,correct
C02-LV,LV,S06F,shirt,book,cat,shirt,shirt,1
C02-LV,LV,S06F,paws,boys,hat,boys,boys,1
C02-LV,LV,S07,cut,house,teeth,house,house,1
C02-LV,LV,S06F,cat,leg,clock,clock,clock,1
C02-LV,LV,S08M,cot,house,shirt,cot,cot,1
C02-LV,LV,S07,paws,skirt,clock,paws,paws,1
C02-LV,LV,S0M,cut,road,cat,cat,cat,1
C02-LV,LV,S06F,bike,book,cot,book,book,1
C02-LV,LV,S08M,ball,teeth,food,ball,ball,1
C02-LV,LV,S06F,piers,skirt,leg,piers,piers,1
C02-LV,LV,S06F,shark,lid,cup,cup,cup,1
C02-LV,LV,S08M,suit,leg,ball,leg,leg,1
C02-LV,LV,S08M,toys,pears,cot,toys,toys,1
C02-LV,LV,S07,tears,paws,shark,shark,shark,1
C02-LV,LV,S07,leg,skirt,ball,skirt,skirt,1
C02-LV,LV,S0M,mouse,cot,cup,cot,cot,1
C02-LV,LV,S08M,ten,bike,tears,bike,bike,1
C02-LV,LV,S0M,mouse,shirt,leg,shirt,shirt,1
C02-LV,LV,S06F,bike,leg,coat,bike,bike,1
C02-LV,LV,S07,lid,ten,cot,lid,lid,1
C02-LV,LV,S08M,bears,gate,clock,clock,clock,1
C02-LV,LV,S07,boys,toys,food,toys,toys,1
C02-LV,LV,S08M,cat,gate,clock,cat,cat,1
C02-LV,LV,S0M,boys,bike,toys,bike,bike,1
C02-LV,LV,S07,boys,park,pears,park,park,1
C02-LV,LV,S07,ring,cot,bees,bees,bees,1
C02-LV,LV,S08M,hat,foot,lid,hat,hat,1
C02-LV,LV,S07,suit,clock,leg,clock,clock,1
C02-LV,LV,S07,bears,cake,park,cake,cake,1
C02-LV,LV,S06F,ring,kite,pears,ring,ring,1
C02-LV,LV,S08M,tears,shark,shirt,tears,tears,1
C02-LV,LV,S0M,boys,cut,bees,cut,cut,1
C02-LV,LV,S0M,cake,food,shark,food,food,1
C02-LV,LV,S07,lid,ring,clock,ring,ring,1
C02-LV,LV,S08M,foot,gate,house,house,house,1
C02-LV,LV,S0M,ten,road,cup,cup,cup,1
C02-LV,LV,S0M,shark,coat,gate,shark,shark,1
C02-LV,LV,S0M,ten,cot,suit,ten,ten,1
C02-LV,LV,S06F,park,hat,cut,hat,hat,1
C02-LV,LV,S07,shirt,boys,ten,ten,ten,1
C02-LV,LV,S0M,boys,clock,cat,boys,boys,1
C02-LV,LV,S06F,piers,mouse,gate,gate,gate,1
C02-LV,LV,S07,ring,bike,piers,piers,piers,1
C02-LV,LV,S0M,cat,cut,skirt,skirt,skirt,1
C02-LV,LV,S06F,bears,clock,bike,bears,bears,1
C02-LV,LV,S07,suit,paws,leg,leg,leg,1
C02-LV,LV,S07,cat,mouse,cut,mouse,mouse,1
C02-LV,LV,S08M,skirt,cut,suit,skirt,skirt,1
C02-LV,LV,S07,cake,coat,kite,kite,kite,1
C02-LV,LV,S08M,bike,skirt,food,food,food,1
C02-LV,LV,S08M,clock,ring,book,book,book,1
C02-LV,LV,S08M,gate,tears,book,gate,gate,1
C02-LV,LV,S06F,kite,cup,teeth,kite,kite,1
C02-LV,LV,S06F,coat,cut,shirt,coat,coat,1
C02-LV,LV,S07,bees,ball,food,food,food,1
C02-LV,LV,S0M,cake,ball,bees,bees,bees,1
C02-LV,LV,S08M,kite,bears,book,kite,kite,1
C02-LV,LV,S08M,cut,ball,lid,cut,cut,1
C02-LV,LV,S06F,cat,ring,clock,cat,cat,1
C02-LV,LV,S08M,bees,kite,pears,kite,kite,1
C02-LV,LV,S07,cut,bike,cup,cut,cut,1
C02-LV,LV,S07,book,teeth,lid,teeth,teeth,1
C02-LV,LV,S0M,suit,cup,book,cup,cup,1
C02-LV,LV,S07,gate,toys,bike,bike,bike,1
C02-LV,LV,S07,ball,bike,ten,ball,ball,1
C02-LV,LV,S07,cat,hat,bees,cat,cat,1
C02-LV,LV,S07,ten,bears,coat,ten,ten,1
C02-LV,LV,S0M,cot,toys,lid,cot,cot,1
C02-LV,LV,S08M,foot,bears,book,book,book,1
