group,test,speaker,vowel,f1,f2
LV,pre,C04,hood,-0.12595732025506,0.122160482866817
LV,pre,C04,hud,-1.93660332937276,-1.67311023737448
LV,pre,C04,whod,-1.24139849550332,-0.15343810655317
LV,pre,C05,had,1.21504176539443,-0.408750953797842
LV,pre,C05,hard,0.842102274597987,-0.761297309144961
LV,pre,C05,head,-0.0800367411360862,1.2192208202301
LV,pre,C05,heard,0.727756226493364,-0.504293867710903
LV,pre,C05,heed,-1.95931868482095,0.778662683021785
LV,pre,C05,hid,-0.579875902704841,0.632470526160184
LV,pre,C05,hoard,-0.305485206964999,-1.3381671236709
LV,pre,C05,hod,-0.507391653218901,-1.89061368143321
LV,pre,C05,hood,-0.7379705448826,0.0261651197033789
LV,pre,C05,hud,0.870949405621589,-0.288885331156398
LV,pre,C05,whod,-0.971086126119474,-0.88753017770826
LV,pre,C06,had,0.39228821584782,-0.483208367274698
LV,pre,C06,hard,1.58553498770467,-0.879464867891161
LV,pre,C06,head,-0.0823896089377243,0.725228826830216
LV,pre,C06,heard,-0.0221681330236192,-0.32279541613464
LV,pre,C06,heed,-1.51423690658692,1.60732361477017
LV,pre,C06,hid,-1.13486371164529,0.443665675121646
LV,pre,C06,hoard,0.0910468873098825,-1.24996428430542
LV,pre,C06,hod,-0.0823896089377243,-0.485849464089775
LV,pre,C06,hood,-0.697383099370065,-0.00647178404531564
LV,pre,C06,hud,0.243718586590962,0.076668482674523
LV,pre,C06,whod,-1.47247849206642,-1.77789701528827
LV,pre,C07,had,1.05881666954235,-0.53672738906448
LV,pre,C07,hard,0.927506923134983,-0.797027399807375
LV,pre,C07,head,-1.58945101203501,-1.80817958115304
LV,pre,C07,heard,1.10765658831418,0.0828585817813034
LV,pre,C07,heed,-1.26674460524909,1.72174208576414
LV,pre,C07,hid,0.152825677146331,1.08482341332348
LV,pre,C07,hoard,-0.443156820924013,-1.76664278962795
LV,pre,C07,hod,-0.00460425512234844,-1.20227725067715
LV,pre,C07,hood,0.114016757687742,0.231807473184051
LV,pre,C07,hud,1.37093715998483,-0.155835438793962
LV,pre,C07,whod,-1.32532314204785,-0.429050882863469
LV,pre,C08,had,1.74716301288646,-0.140123380842158
LV,pre,C08,hard,1.11904152012315,-1.0406522290745
LV,pre,C08,head,-0.314629130750689,-1.44226898513942
LV,pre,C08,heard,-0.121488281658276,-0.434656072046383
LV,pre,C08,heed,-1.15275990722575,1.71561786622164
LV,pre,C08,hid,-1.14609361345704,1.5942465550579
LV,pre,C08,hoard,0.338844366952806,-1.19608042843525
LV,pre,C08,hod,-0.936584084685499,-1.29261057291419
LV,pre,C08,hood,-0.556656055327066,1.18956268596372
LV,pre,C08,hud,0.01092371055257,-0.163496529265443
LV,pre,C08,whod,-1.26722288449522,0.00769249515375464
LV,pre,C09,had,1.08565422666163,-0.451277350353935
LV,pre,C09,hard,1.28726286945221,-1.01339715169221
LV,pre,C09,head,-0.741855913006214,1.44003680178587
LV,pre,C09,heard,1.1258845228885,-0.535370160403048
LV,pre,C09,heed,-0.249624620232982,1.03163082679929
LV,pre,C09,hid,-0.0474440601605036,1.15503355927744
LV,pre,C09,hoard,-2.15924986642803,-1.56373810683465
LV,pre,C09,hod,0.058261289771469,-0.897862134295013
LV,pre,C09,hood,0.127546658906059,0.784606482213285
LV,pre,C09,hud,0.658873065357868,-0.532443809328093
LV,pre,C09,whod,-0.972296978198174,0.663590146877694
LV,post,C01,had,1.71546532827683,0.134912464390528
LV,post,C01,hard,1.27992679193036,-0.979398687552746
LV,post,C01,head,-0.491411045636215,0.938791394314652
LV,post,C01,heard,-0.176541966206374,0.292249328659651
LV,post,C01,heed,-1.05088148533691,1.67305739057832
LV,post,C01,hid,-1.0839326004001,1.0520635521779
LV,post,C01,hoard,-0.742555939894436,-1.74380994918648
LV,post,C01,hod,-0.204972148035148,-0.923201188195915
LV,post,C01,hood,-0.136980291009297,-0.344316742504311
LV,post,C01,hud,0.711443999697924,0.456953351567398
LV,post,C01,whod,-1.28611459712402,-0.575535068231746
LV,post,C010,had,1.56254790673286,-0.153520758640579
LV,post,C010,hard,1.68158931327614,-0.477656781714159
LV,post,C010,head,0.249530180962983,1.06499831999656
LV,post,C010,heard,0.421600008981615,-2.10274205976356
LV,post,C010,heed,-1.3736948348313,1.32788278350399
LV,post,C010,hid,-1.07865127280526,-0.354247811452087
LV,post,C010,hoard,-0.0241141883452233,-1.47273738571406
LV,post,C010,hod,0.180632440666118,-1.14639259390231
LV,post,C010,hood,-0.65113755663912,0.185642304112157
LV,post,C010,hud,0.499916793263222,0.527252464061493
LV,post,C010,whod,-1.20137788928612,0.689486872327941
LV,post,C011,had,1.23427439980575,-0.184271145742583
LV,post,C011,hard,1.28556727480068,-0.767837083741879
LV,post,C011,head,-0.203998355800541,0.695008081481347
LV,post,C011,heard,-0.194357819019844,-0.224476047894773
LV,post,C011,heed,-0.888311058256724,1.7282944732469
LV,post,C011,hid,-1.14552201099834,1.58493659177849
LV,post,C011,hoard,-0.627992349805809,-2.01809420804832
LV,post,C011,hod,1.04389520749032,-0.595348617224062
LV,post,C011,hood,-1.05254385946816,0.788946580699272
LV,post,C011,hud,-0.0195760025672559,-0.263157351886207
LV,post,C011,whod,-0.810938322858082,0.466408780700726
LV,post,C012,had,1.03656808640632,-0.575976504736512
