Group,Test,participant,Pair,nTrials,nCorrect,Accuracy
HV,post,C015,bit-bite,6,3,0.5
HV,post,C015,board-buoyed,6,4,0.666666667
HV,post,C015,boat-bout,6,6,1
HV,post,C015,bot-but,6,2,0.333333333
HV,post,C015,poot-put,6,6,1
HV,post,C017,bait-bet,6,3,0.5
HV,post,C017,bait-bite,6,1,0.166666667
HV,post,C017,bared-beard,6,3,0.5
HV,post,C017,bared-bird,6,0,0
HV,post,C017,bart-bert,6,5,0.833333333
HV,post,C017,bart-bot,6,1,0.166666667
HV,post,C017,bart-but,6,2,0.333333333
HV,post,C017,bat-but,6,4,0.666666667
HV,post,C017,beat-bit,6,4,0.666666667
HV,post,C017,bet-bit,6,3,0.5
HV,post,C017,bit-bite,6,3,0.5
HV,post,C017,board-buoyed,6,5,0.833333333
HV,post,C017,boat-bout,6,1,0.166666667
HV,post,C017,bot-but,6,3,0.5
HV,post,C017,poot-put,6,3,0.5
HV,post,C018,bait-bet,6,5,0.833333333
HV,post,C018,bait-bite,6,4,0.666666667
HV,post,C018,bared-beard,6,6,1
HV,post,C018,bared-bird,6,3,0.5
HV,post,C018,bart-bert,6,4,0.666666667
HV,post,C018,bart-bot,6,4,0.666666667
HV,post,C018,bart-but,6,5,0.833333333
HV,post,C018,bat-but,6,3,0.5
HV,post,C018,beat-bit,6,6,1
HV,post,C018,bet-bit,6,6,1
HV,post,C018,bit-bite,6,6,1
HV,post,C018,board-buoyed,6,6,1
HV,post,C018,boat-bout,6,6,1
HV,post,C018,bot-but,6,6,1
HV,post,C018,poot-put,6,5,0.833333333
HV,post,C019,bait-bet,6,5,0.833333333
HV,post,C019,bait-bite,6,5,0.833333333
HV,post,C019,bared-beard,6,4,0.666666667
HV,post,C019,bared-bird,6,1,0.166666667
HV,post,C019,bart-bert,6,5,0.833333333
HV,post,C019,bart-bot,6,6,1
HV,post,C019,bart-but,6,4,0.666666667
HV,post,C019,bat-but,6,2,0.333333333
HV,post,C019,beat-bit,6,6,1
HV,post,C019,bet-bit,6,3,0.5
HV,post,C019,bit-bite,6,4,0.666666667
HV,post,C019,board-buoyed,6,5,0.833333333
HV,post,C019,boat-bout,6,5,0.833333333
HV,post,C019,bot-but,6,6,1
HV,post,C019,poot-put,6,6,1
HV,post,C02,bait-bet,6,4,0.666666667
HV,post,C02,bait-bite,6,4,0.666666667
HV,post,C02,bared-beard,6,2,0.333333333
HV,post,C02,bared-bird,6,4,0.666666667
HV,post,C02,bart-bert,6,3,0.5
HV,post,C02,bart-bot,6,2,0.333333333
HV,post,C02,bart-but,6,2,0.333333333
HV,post,C02,bat-but,6,2,0.333333333
HV,post,C02,beat-bit,6,4,0.666666667
HV,post,C02,bet-bit,6,3,0.5
HV,post,C02,bit-bite,6,4,0.666666667
HV,post,C02,board-buoyed,6,5,0.833333333
HV,post,C02,boat-bout,6,5,0.833333333
HV,post,C02,bot-but,6,4,0.666666667
HV,post,C02,poot-put,6,5,0.833333333
HV,post,C020,bait-bet,6,5,0.833333333
HV,post,C020,bait-bite,6,5,0.833333333
HV,post,C020,bared-beard,6,4,0.666666667
HV,post,C020,bared-bird,6,0,0
HV,post,C020,bart-bert,6,4,0.666666667
HV,post,C020,bart-bot,6,5,0.833333333
HV,post,C020,bart-but,6,1,0.166666667
HV,post,C020,bat-but,6,2,0.333333333
HV,post,C020,beat-bit,6,6,1
HV,post,C020,bet-bit,6,3,0.5
HV,post,C020,bit-bite,6,6,1
HV,post,C020,board-buoyed,6,5,0.833333333
HV,post,C020,boat-bout,6,5,0.833333333
HV,post,C020,bot-but,6,4,0.666666667
HV,post,C020,poot-put,6,5,0.833333333
HV,post,C021,bait-bet,6,3,0.5
HV,post,C021,bait-bite,6,1,0.166666667
HV,post,C021,bared-beard,6,3,0.5
HV,post,C021,bared-bird,6,2,0.333333333
HV,post,C021,bart-bert,6,4,0.666666667
HV,post,C021,bart-bot,6,2,0.333333333
HV,post,C021,bart-but,6,1,0.166666667
HV,post,C021,bat-but,6,4,0.666666667
HV,post,C021,beat-bit,6,2,0.333333333
HV,post,C021,bet-bit,6,3,0.5
HV,post,C021,bit-bite,6,4,0.666666667
HV,post,C021,board-buoyed,6,0,0
HV,post,C021,boat-bout,6,1,0.166666667
HV,post,C021,bot-but,6,1,0.166666667
HV,post,C021,poot-put,6,1,0.166666667
HV,post,C023,bait-bet,6,1,0.166666667
HV,post,C023,bait-bite,6,2,0.333333333
HV,post,C023,bared-beard,6,1,0.166666667
HV,post,C023,bared-bird,6,0,0
HV,post,C023,bart-bert,6,3,0.5
HV,post,C023,bart-bot,6,3,0.5
HV,post,C023,bart-but,6,4,0.666666667
HV,post,C023,bat-but,6,1,0.166666667
HV,post,C023,beat-bit,6,3,0.5
HV,post,C023,bet-bit,6,2,0.333333333
HV,post,C023,bit-bite,6,1,0.166666667
HV,post,C023,board-buoyed,6,1,0.166666667
HV,post,C023,boat-bout,6,1,0.166666667
HV,post,C023,bot-but,6,0,0
HV,post,C023,poot-put,6,1,0.166666667
HV,post,C024,bait-bet,6,3,0.5
HV,post,C024,bait-bite,6,2,0.333333333
HV,post,C024,bared-beard,6,0,0
HV,post,C024,bared-bird,6,2,0.333333333
HV,post,C024,bart-bert,6,4,0.666666667
HV,post,C024,bart-bot,6,2,0.333333333
HV,post,C024,bart-but,6,3,0.5
HV,post,C024,bat-but,6,1,0.166666667
HV,post,C024,beat-bit,6,4,0.666666667
HV,post,C024,bet-bit,6,2,0.333333333
HV,post,C024,bit-bite,6,4,0.666666667
HV,post,C024,board-buoyed,6,2,0.333333333
HV,post,C024,boat-bout,6,3,0.5
HV,post,C024,bot-but,6,1,0.166666667
HV,post,C024,poot-put,6,3,0.5
HV,post,C03,bait-bet,6,5,0.833333333
HV,post,C03,bait-bite,6,5,0.833333333
HV,post,C03,bared-beard,6,3,0.5
HV,post,C03,bared-bird,6,4,0.666666667
HV,post,C03,bart-bert,6,4,0.666666667
