participant,vowel,group,test,duration,f1,f2
C04,haired,LV,post,224,1239,1615
C04,hard,LV,post,225,869,1570
C04,hayed,LV,post,256,666,2205
C04,head,LV,post,174,1035,2632
C04,hear,LV,post,331,1149,2151
C04,heard,LV,post,259,772,1847
C04,heed,LV,post,322,659,2918
C04,hid,LV,post,176,656,2328
C04,hide,LV,post,272,1306,2275
C04,hoard,LV,post,231,756,1336
C04,hod,LV,post,224,779,1422
C04,hoed,LV,post,249,648,1794
C04,hood,LV,post,159,680,1854
C04,howd,LV,post,270,1090,1854
C04,hoyd,LV,post,230,641,2422
C04,hud,LV,post,101,1331,1737
C04,whod,LV,post,243,485,1904
C05,had,LV,post,184,1249,2045
C05,haired,LV,post,352,971,2441
C05,hard,LV,post,338,1076,1684
C05,hayed,LV,post,309,597,3137
C05,head,LV,post,239,948,2596
C05,hear,LV,post,390,770,2031
C05,heard,LV,post,286,451,972
C05,heed,LV,post,318,431,3282
C05,hid,LV,post,137,540,2818
C05,hide,LV,post,404,849,1452
C05,hoard,LV,post,243,894,1329
C05,hod,LV,post,120,877,1582
C05,hoed,LV,post,278,782,2238
C05,hood,LV,post,233,642,2280
C05,howd,LV,post,213,1102,1759
C05,hoyd,LV,post,365,516,1751
C05,hud,LV,post,149,1174,2026
C05,whod,LV,post,237,460,1648
C06,had,LV,post,127,1068,1802
C06,haired,LV,post,300,519,1308
C06,hard,LV,post,317,1039,1487
C06,hayed,LV,post,324,435,2906
C06,head,LV,post,155,663,2405
C06,hear,LV,post,354,829,2276
C06,heard,LV,post,251,602,1695
C06,heed,LV,post,291,433,3287
C06,hid,LV,post,125,501,2359
C06,hide,LV,post,343,945,2151
C06,hoard,LV,post,332,641,1264
C06,hod,LV,post,165,672,1581
C06,hoed,LV,post,409,466,1459
C06,hood,LV,post,116,485,2026
C06,howd,LV,post,445,820,1448
C06,hoyd,LV,post,409,651,2375
C06,whod,LV,post,307,393,1375
C06,hud,LV,post,104,1185,1557
C07,had,LV,post,195,1102,1745
C07,haired,LV,post,240,837,2364
C07,hard,LV,post,282,1066,1547
C07,hayed,LV,post,345,744,2304
C07,head,LV,post,173,891,2610
C07,hear,LV,post,394,855,2426
C07,heard,LV,post,309,811,2442
C07,heed,LV,post,289,498,3331
C07,hid,LV,post,146,740,2822
C07,hide,LV,post,322,1048,2024
C07,hoard,LV,post,365,711,1107
C07,hod,LV,post,154,775,1278
C07,hoed,LV,post,171,793,2385
C07,hood,LV,post,165,809,1832
C07,howd,LV,post,384,1060,1851
C07,hoyd,LV,post,453,681,1348
C07,hud,LV,post,131,974,1736
C07,whod,LV,post,353,517,2164
C08,had,LV,post,188,972,1914
C08,haired,LV,post,296,670,2309
C08,hard,LV,post,292,890,1405
C08,hayed,LV,post,352,440,1405
C08,head,LV,post,154,819,847
C08,hear,LV,post,401,460,1556
C08,heard,LV,post,314,669,2008
C08,heed,LV,post,253,382,3357
C08,hid,LV,post,118,452,3323
C08,hide,LV,post,320,918,1633
C08,hoard,LV,post,250,645,1281
C08,hod,LV,post,111,672,1356
C08,hoed,LV,post,436,453,2316
C08,hood,LV,post,157,645,1480
C08,howd,LV,post,361,1012,1782
C08,hoyd,LV,post,239,650,1648
C08,hud,LV,post,102,844,1766
C08,whod,LV,post,345,392,2605
C09,had,LV,post,192,838,1361
C09,haired,LV,post,333,785,1477
C09,hard,LV,post,241,797,1526
C09,hayed,LV,post,272,718,2490
C09,head,LV,post,147,843,1618
C09,hear,LV,post,298,787,1785
C09,heard,LV,post,242,794,2073
C09,heed,LV,post,304,563,2454
C09,hid,LV,post,172,734,2413
C09,hide,LV,post,279,784,1516
C09,hoard,LV,post,284,702,1372
C09,hod,LV,post,136,808,1379
C09,hoed,LV,post,266,530,1591
C09,hood,LV,post,141,791,2316
C09,howd,LV,post,250,803,1519
C09,hoyd,LV,post,333,779,1576
C09,hud,LV,post,152,1000,1631
C09,whod,LV,post,265,551,1570
C012,had,LV,post,229,885,1125
C012,haired,LV,post,349,990,2480
C012,hard,LV,post,379,738,1053
C012,hayed,LV,post,284,395,781
C012,head,LV,post,149,562,2338
