participant,vowel,group,test,duration,f1,f2
C03,hoard,HV,post,340,606,899
C03,hod,HV,post,206,755,1217
C03,hoed,HV,post,367,514,1819
C03,hood,HV,post,217,500,2171
C03,howd,HV,post,446,1005,1604
C03,hoyd,HV,post,464,616,2005
C03,hud,HV,post,194,1170,1824
C03,whod,HV,post,398,470,2374
C04,had,HV,post,392,1109,1601
C04,haired,HV,post,492,924,1434
C04,hard,HV,post,502,891,1404
C04,hayed,HV,post,404,545,2715
C04,head,HV,post,255,758,1869
C04,hear,HV,post,440,937,2057
C04,heard,HV,post,450,614,1786
C04,heed,HV,post,432,532,3133
C04,hid,HV,post,186,569,2244
C04,hide,HV,post,382,1146,1352
C04,hoard,HV,post,388,571,1362
C04,hod,HV,post,162,594,1174
C04,hoed,HV,post,404,540,1938
C04,hood,HV,post,173,574,1804
C04,howd,HV,post,280,878,1636
C04,hoyd,HV,post,483,674,2162
C04,hud,HV,post,183,880,1599
C04,whod,HV,post,451,544,2026
C05,had,HV,post,225,858,1007
C05,haired,HV,post,345,715,1581
C05,hard,HV,post,303,950,1673
C05,hayed,HV,post,466,572,1967
C05,head,HV,post,258,679,2245
C05,hear,HV,post,372,899,2119
C05,heard,HV,post,415,952,1938
C05,heed,HV,post,339,470,2884
C05,hid,HV,post,142,520,2050
C05,hide,HV,post,331,944,1952
C05,hoard,HV,post,349,547,1318
C05,hod,HV,post,255,555,1963
C05,hoed,HV,post,416,529,1691
C05,hood,HV,post,201,659,2140
C05,howd,HV,post,384,851,1450
C05,hoyd,HV,post,340,758,1484
C05,hud,HV,post,166,994,2019
C05,whod,HV,post,285,530,2194
C06,had,HV,post,197,1201,1928
C06,haired,HV,post,414,1146,2126
C06,hard,HV,post,329,1370,1808
C06,hayed,HV,post,313,449,2738
C06,head,HV,post,177,591,2298
C06,hear,HV,post,441,369,2189
C06,heard,HV,post,331,709,2053
C06,heed,HV,post,405,431,3022
C06,hid,HV,post,153,508,2453
C06,hide,HV,post,341,1022,2006
C06,hoard,HV,post,427,566,1158
C06,hod,HV,post,167,703,1476
C06,hoed,HV,post,411,609,1708
C06,hood,HV,post,175,592,1754
C06,howd,HV,post,401,1034,1624
C06,hoyd,HV,post,392,404,1009
C06,hud,HV,post,175,808,1966
C06,whod,HV,post,406,264,1359
C07,had,HV,post,224,951,1889
C07,haired,HV,post,259,877,2195
C07,hard,HV,post,346,906,1421
C07,hayed,HV,post,361,508,848
C07,head,HV,post,201,639,2342
C07,hear,HV,post,384,621,2456
C07,heard,HV,post,390,871,1947
C07,heed,HV,post,341,487,1688
C07,hid,HV,post,255,598,2664
C07,hide,HV,post,317,918,1365
C07,hoard,HV,post,331,464,1276
C07,hod,HV,post,175,518,1022
C07,hoed,HV,post,422,562,2026
C07,hood,HV,post,251,526,2032
C07,howd,HV,post,336,918,1621
C07,hoyd,HV,post,313,796,2073
C07,hud,HV,post,194,883,1819
C07,whod,HV,post,376,469,1955
C08,had,HV,post,272,843,1231
C08,haired,HV,post,305,1052,1991
C08,hard,HV,post,270,773,1328
C08,hayed,HV,post,321,535,2700
C08,head,HV,post,170,827,2220
C08,hear,HV,post,368,663,960
C08,heard,HV,post,231,1036,2062
C08,heed,HV,post,276,340,3501
C08,hid,HV,post,132,450,3016
C08,hide,HV,post,313,850,1274
C08,hoard,HV,post,350,428,1254
C08,hod,HV,post,195,465,1331
C08,hoed,HV,post,360,505,1999
C08,hood,HV,post,110,596,1632
C08,howd,HV,post,485,866,1603
C08,hoyd,HV,post,364,613,1394
C08,hud,HV,post,177,1074,1826
C08,whod,HV,post,333,423,1802
C09,had,HV,post,224,943,1932
C09,haired,HV,post,391,904,2172
C09,hard,HV,post,284,1009,1850
C09,hayed,HV,post,414,577,2618
C09,head,HV,post,196,653,2706
C09,hear,HV,post,359,772,2187
C09,heard,HV,post,338,819,1006
C09,heed,HV,post,319,460,3081
C09,hid,HV,post,236,426,2907
C09,hide,HV,post,288,940,1954
C09,hoard,HV,post,232,550,1236
C09,hod,HV,post,171,687,1513
C09,hoed,HV,post,320,624,2558
C09,hood,HV,post,312,592,2675
C09,howd,HV,post,281,835,1749
C09,hoyd,HV,post,355,603,2080
C09,hud,HV,post,184,1307,1952
C09,whod,HV,post,408,440,1926
