participant,group,test,stim1,stim2,stim3,response,odd-one-out,correct-response
C06,HV,pre,put,poot,put,1,2,0
C07,HV,pre,bait,bait,bet,1,3,0
C07,HV,pre,bird,bared,bared,1,1,1
C07,HV,pre,bet,bait,bet,1,2,0
C07,HV,pre,bart,bart,but,1,3,0
C07,HV,pre,bit,bite,bite,1,1,1
C07,HV,pre,bared,bared,bird,1,3,0
C07,HV,pre,bot,bart,bot,1,2,0
C07,HV,pre,board,buoyed,board,1,2,0
C07,HV,pre,bit,bit,bite,1,3,0
C07,HV,pre,bart,but,but,1,1,1
C07,HV,pre,bot,but,bot,1,2,0
C07,HV,pre,bared,beard,bared,1,2,0
C07,HV,pre,bot,bart,bart,1,1,1
C07,HV,pre,bird,bared,bird,1,2,0
C07,HV,pre,bart,bart,bert,1,3,0
C07,HV,pre,bared,beard,beard,1,1,1
C07,HV,pre,bared,beard,beard,1,1,1
C07,HV,pre,bot,bot,bart,1,3,0
C07,HV,pre,put,poot,put,1,2,0
C07,HV,pre,bart,bart,bot,2,3,0
C07,HV,pre,bait,bite,bait,3,2,0
C07,HV,pre,but,bot,but,2,2,1
C07,HV,pre,bat,bat,but,3,3,1
C07,HV,pre,bit,bite,bit,2,2,1
C07,HV,pre,bait,bait,bite,3,3,1
C07,HV,pre,beard,bared,bared,2,1,0
C07,HV,pre,bait,bet,bait,1,2,0
C07,HV,pre,buoyed,buoyed,board,3,3,1
C07,HV,pre,boat,bout,bout,1,1,1
C07,HV,pre,bit,beat,beat,2,1,0
C07,HV,pre,buoyed,board,buoyed,2,2,1
C07,HV,pre,bit,bit,bet,3,3,1
C07,HV,pre,bout,boat,boat,1,1,1
C07,HV,pre,board,buoyed,buoyed,1,1,1
C07,HV,pre,bite,bait,bait,3,1,0
C07,HV,pre,poot,put,poot,1,2,0
C07,HV,pre,poot,put,put,2,1,0
C07,HV,pre,bit,beat,bit,3,2,0
C07,HV,pre,bout,boat,bout,3,2,0
C07,HV,pre,bet,bit,bit,1,1,1
C07,HV,pre,bite,bite,bait,2,3,0
C07,HV,pre,bert,bart,bert,1,2,0
C07,HV,pre,bite,bit,bite,2,2,1
