participant,vowel,group,test,duration,f1,f2
C09,hayed,HV,pre,349,540,2602
C09,head,HV,pre,155,686,2518
C09,hear,HV,pre,224,520,2481
C09,heard,HV,pre,321,896,2147
C09,heed,HV,pre,362,399,2950
C09,hid,HV,pre,100,520,2615
C09,hide,HV,pre,354,1134,2103
C09,hoard,HV,pre,285,539,1278
C09,hod,HV,pre,157,645,1603
C09,hoed,HV,pre,401,570,2663
C09,hood,HV,pre,132,620,2481
C09,howd,HV,pre,286,855,1666
C09,hoyd,HV,pre,388,612,2586
C09,hud,HV,pre,125,720,2064
C09,whod,HV,pre,297,395,2612
