participant,vowel,duration,group,test,V,C
C04,hid,186,HV,post,whod,False
C04,hoard,388,HV,post,hoard,True
C04,hod,162,HV,post,hoard,False
C04,hood,173,HV,post,whod,False
C04,hud,183,HV,post,heard,False
C04,whod,451,HV,post,whod,True
C05,had,225,HV,post,hod,False
C05,hard,303,HV,post,head,False
C05,head,258,HV,post,hoard,False
C05,heard,415,HV,post,head,False
C05,heed,339,HV,post,hid,False
C05,hid,142,HV,post,whod,False
C05,hoard,349,HV,post,hoard,True
C05,hod,255,HV,post,hood,False
C05,hood,201,HV,post,hoard,False
C05,hud,166,HV,post,head,False
C05,whod,285,HV,post,whod,True
C06,had,197,HV,post,had,True
C06,hard,329,HV,post,had,False
C06,head,177,HV,post,hoard,False
C06,heard,331,HV,post,head,False
C06,heed,405,HV,post,heed,True
C06,hid,153,HV,post,hid,True
C06,hoard,427,HV,post,hoard,True
C06,hod,167,HV,post,hod,True
C06,hood,175,HV,post,hood,True
C06,hud,175,HV,post,heard,False
C06,whod,406,HV,post,hoard,False
C07,had,224,HV,post,head,False
C07,hard,346,HV,post,hard,True
C07,head,201,HV,post,hid,False
C07,heard,390,HV,post,head,False
C07,heed,341,HV,post,whod,False
C07,hid,255,HV,post,hid,True
C07,hoard,331,HV,post,hoard,True
C07,hod,175,HV,post,hoard,False
C07,hood,251,HV,post,whod,False
C07,hud,194,HV,post,heard,False
C07,whod,376,HV,post,whod,True
C08,had,272,HV,post,hard,False
C08,hard,270,HV,post,head,False
C08,head,170,HV,post,head,True
C08,heard,231,HV,post,head,False
C08,heed,276,HV,post,heed,True
C08,hid,132,HV,post,hid,True
C08,hoard,350,HV,post,hoard,True
C08,hod,195,HV,post,hoard,False
C08,hood,110,HV,post,hood,True
C08,hud,177,HV,post,had,False
C08,whod,333,HV,post,whod,True
C09,had,224,HV,post,head,False
C09,hard,284,HV,post,had,False
C09,head,196,HV,post,hid,False
C09,heard,338,HV,post,hod,False
C09,heed,319,HV,post,heed,True
C09,hid,236,HV,post,heed,False
C09,hoard,232,HV,post,hoard,True
C09,hod,171,HV,post,hod,True
C09,hood,312,HV,post,hid,False
C09,hud,184,HV,post,had,False
C09,whod,408,HV,post,whod,True
C010,had,232,LV,post,head,False
C010,hard,370,LV,post,had,False
C010,head,187,LV,post,hid,False
C010,heard,245,LV,post,hod,False
C010,heed,281,LV,post,heed,True
C010,hid,121,LV,post,whod,False
C010,hoard,314,LV,post,hoard,True
C010,hod,148,LV,post,hoard,False
C010,hood,173,LV,post,whod,False
C010,hud,143,LV,post,head,False
C010,whod,403,LV,post,whod,True
C011,had,236,LV,post,head,False
C011,hard,320,LV,post,hud,False
C011,head,198,LV,post,hoard,False
C011,heard,426,LV,post,hood,False
C011,heed,307,LV,post,heed,True
C011,hid,149,LV,post,heed,False
C011,hoard,306,LV,post,hoard,True
C011,hod,240,LV,post,hud,False
C011,hood,174,LV,post,whod,False
C011,hud,284,LV,post,hood,False
C011,whod,366,LV,post,whod,True
C014,had,198,LV,post,hud,False
C014,hard,283,LV,post,heard,False
C014,head,169,LV,post,hid,False
C014,heard,266,LV,post,hoard,False
C014,heed,201,LV,post,heed,True
C014,hid,86,LV,post,whod,False
C014,hoard,262,LV,post,hud,False
C014,hod,172,LV,post,heard,False
C014,hood,98,LV,post,head,False
C014,hud,169,LV,post,head,False
C014,whod,230,LV,post,hoard,False
C015,had,200,LV,post,had,True
C015,hard,329,LV,post,hod,False
C015,head,172,LV,post,head,True
C015,heard,179,LV,post,head,False
C015,heed,283,LV,post,heed,True
C015,hid,120,LV,post,heed,False
C015,hoard,192,LV,post,hoard,True
C015,hod,200,LV,post,hod,True
C015,hood,144,LV,post,hoard,False
C015,hud,172,LV,post,had,False
C015,whod,356,LV,post,whod,True
C016,had,165,LV,post,had,True
C016,hard,333,LV,post,hud,False
C016,head,210,LV,post,heard,False
C016,heard,324,LV,post,head,False
C016,heed,220,LV,post,heed,True
C016,hid,136,LV,post,hid,True
C016,hoard,287,LV,post,hoard,True
C016,hod,135,LV,post,head,False
C016,hood,193,LV,post,hoard,False
C016,hud,80,LV,post,hoard,False
C016,whod,316,LV,post,whod,True
C018,had,129,LV,post,had,True
C018,hard,230,LV,post,had,False
C018,head,179,LV,post,hoard,False
C018,heard,121,LV,post,heard,True
C018,heed,400,LV,post,hid,False
C018,hid,103,LV,post,hoard,False
C018,hoard,292,LV,post,hod,False
C018,hod,122,LV,post,hod,True
C018,hood,201,LV,post,hid,False
C018,hud,146,LV,post,had,False
C018,whod,328,LV,post,heed,False
C019,had,140,LV,post,had,True
C019,hard,284,LV,post,hud,False
C019,head,130,LV,post,head,True
C019,heard,327,LV,post,hood,False
C019,heed,304,LV,post,hid,False
C019,hid,97,LV,post,hoard,False
C019,hoard,339,LV,post,hoard,True
C019,hod,152,LV,post,hod,True
C019,hood,105,LV,post,hood,True
C019,hud,126,LV,post,head,False
C019,whod,358,LV,post,whod,True
C01,had,195,LV,post,had,True
C01,hard,212,LV,post,hard,True
C01,head,138,LV,post,hid,False
C01,heard,196,LV,post,hoard,False
C01,heed,211,LV,post,heed,True
C01,hid,121,LV,post,whod,False
C01,hoard,247,LV,post,hoard,True
C01,hod,150,LV,post,hoard,False
C01,hood,109,LV,post,hoard,False
C01,hud,78,LV,post,head,False
C01,whod,221,LV,post,whod,True
C021,had,203,LV,post,hod,False
C021,hard,369,LV,post,hard,True
C021,head,112,LV,post,hid,False
