participant,vowel,group,test,duration,f1,f2
C022,hoed,LV,pre,241,759,2514
C022,hood,LV,pre,148,542,2437
C022,howd,LV,pre,287,990,1670
C022,hoyd,LV,pre,200,641,1380
C022,hud,LV,pre,203,998,1856
C022,whod,LV,pre,248,490,2024
C023,had,LV,pre,185,910,1728
C023,haired,LV,pre,205,777,1981
C023,hard,LV,pre,174,770,1298
C023,hayed,LV,pre,220,491,2446
C023,head,LV,pre,172,564,2225
C023,hear,LV,pre,273,823,1910
C023,heard,LV,pre,230,682,1198
C023,heed,LV,pre,265,532,2462
C023,hid,LV,pre,172,520,2461
C023,hide,LV,pre,260,770,1693
C023,hoard,LV,pre,173,624,1159
C023,hod,LV,pre,153,762,1295
C023,hoed,LV,pre,195,550,2505
C023,hood,LV,pre,176,738,1382
C023,howd,LV,pre,263,828,1551
C023,hoyd,LV,pre,259,710,1625
C023,hud,LV,pre,140,776,1636
C023,whod,LV,pre,210,506,1216
C024,hood,LV,pre,228,768,1033
C024,howd,LV,pre,245,911,1319
C024,hoyd,LV,pre,258,778,1374
C024,hud,LV,pre,146,1070,1699
C024,whod,LV,pre,179,506,1053
C024,had,LV,pre,167,1064,1660
C024,haired,LV,pre,203,995,1078
C024,hard,LV,pre,183,965,1390
C024,hayed,LV,pre,246,750,2704
C024,head,LV,pre,209,795,1117
C024,hear,LV,pre,262,716,2454
C024,heard,LV,pre,233,756,999
C024,heed,LV,pre,259,527,3165
C024,hid,LV,pre,166,501,3344
C024,hide,LV,pre,191,1068,1528
C024,hoard,LV,pre,237,795,1362
C024,hod,LV,pre,167,755,1266
C024,hoed,LV,pre,179,853,1482
C01,had,LV,pre,189,912,2126
C01,haired,LV,pre,227,613,1592
C01,hard,LV,pre,177,908,1482
C01,hayed,LV,pre,272,530,2484
C01,head,LV,pre,99,793,2371
C01,hear,LV,pre,286,803,2484
C01,heard,LV,pre,198,633,1737
C01,heed,LV,pre,209,451,3208
C01,hid,LV,pre,124,689,2470
C01,hide,LV,pre,303,966,1730
C01,hoard,LV,pre,212,688,1419
C01,hod,LV,pre,101,738,1460
C01,hoed,LV,pre,239,659,1399
C01,hood,LV,pre,232,692,1683
C01,howd,LV,pre,179,1012,1433
C01,hoyd,LV,pre,241,622,1972
C01,hud,LV,pre,110,841,1899
C01,whod,LV,pre,156,483,1357
C02,had,LV,pre,155,1120,1694
C02,haired,LV,pre,163,808,2794
C02,hard,LV,pre,194,1044,1619
C02,hayed,LV,pre,179,402,1453
C02,head,LV,pre,89,696,2850
C02,hear,LV,pre,155,1006,2630
C02,heard,LV,pre,118,886,1541
C02,heed,LV,pre,208,411,3101
C02,hid,LV,pre,136,646,2476
C02,hide,LV,pre,226,450,1335
C02,hoard,LV,pre,246,822,1504
C02,hod,LV,pre,133,877,1512
C02,hoed,LV,pre,266,823,2402
C02,hood,LV,pre,129,759,1556
C02,howd,LV,pre,261,983,1647
C02,hoyd,LV,pre,241,918,1610
C02,hud,LV,pre,129,972,1655
C02,whod,LV,pre,219,466,1788
C03,had,LV,pre,145,1085,1742
C03,haired,LV,pre,183,1163,1556
C03,hard,LV,pre,207,906,1399
C03,hayed,LV,pre,238,413,3059
C03,head,LV,pre,109,531,2652
C03,hear,LV,pre,306,936,2486
C03,heard,LV,pre,223,900,1855
C03,heed,LV,pre,219,335,3378
C03,hid,LV,pre,143,431,2659
C03,hide,LV,pre,308,1022,1794
C03,hoard,LV,pre,168,546,1248
C03,hod,LV,pre,141,553,1423
C03,hoed,LV,pre,220,438,1669
C03,hood,LV,pre,127,565,2427
C03,howd,LV,pre,310,982,1522
C03,hoyd,LV,pre,147,988,1712
C03,hud,LV,pre,142,917,1783
C03,whod,LV,pre,155,306,1363
C04,had,LV,pre,127,1148,1711
C04,haired,LV,pre,209,1060,2081
C04,hard,LV,pre,207,961,1484
C04,hayed,LV,pre,219,568,1942
C04,head,LV,pre,149,934,2777
C04,hear,LV,pre,200,892,2252
C04,heard,LV,pre,186,786,937
C04,heed,LV,pre,245,566,2222
C04,hid,LV,pre,146,769,2954
C04,hide,LV,pre,238,1149,2137
C04,hoard,LV,pre,205,712,1346
C04,hod,LV,pre,149,832,1403
C04,hoed,LV,pre,216,684,1493
C04,hood,LV,pre,144,771,1766
C04,howd,LV,pre,215,1052,1708
C04,hoyd,LV,pre,178,761,1289
C04,hud,LV,pre,149,460,1025
C04,whod,LV,pre,196,568,1624
C05,had,LV,pre,121,1069,1497
C05,haired,LV,pre,177,1127,1190
C05,hard,LV,pre,177,947,1314
C05,hayed,LV,pre,232,463,3273
C05,head,LV,pre,72,692,2808
C05,hear,LV,pre,237,542,2857
C05,heard,LV,pre,211,912,1445
C05,heed,LV,pre,171,315,2349
C05,hid,LV,pre,86,576,2218
C05,hide,LV,pre,155,1161,1826
C05,hoard,LV,pre,147,638,1060
C05,hod,LV,pre,134,592,858
C05,hoed,LV,pre,280,592,2321
C05,hood,LV,pre,107,542,1760
C05,howd,LV,pre,241,1049,1485
C05,hoyd,LV,pre,239,675,2753
C05,hud,LV,pre,82,956,1565
C05,whod,LV,pre,182,494,1254
C06,had,LV,pre,134,796,1638
C06,haired,LV,pre,234,1019,1877
C06,hard,LV,pre,216,1061,1495
C06,hayed,LV,pre,236,495,2869
C06,head,LV,pre,129,706,2177
C06,hear,LV,pre,162,731,2429
C06,heard,LV,pre,171,717,1700
C06,heed,LV,pre,137,475,2709
C06,hid,LV,pre,94,531,2035
C06,hide,LV,pre,267,1081,1656
C06,hoard,LV,pre,143,738,1373
C06,hod,LV,pre,98,706,1637
C06,hoed,LV,pre,133,631,2430
C06,hood,LV,pre,91,600,1830
C06,howd,LV,pre,271,893,1434
C06,hoyd,LV,pre,123,835,1658
C06,hud,LV,pre,90,767,1866
C06,whod,LV,pre,86,481,1216
C07,had,LV,pre,157,1062,1598
C07,haired,LV,pre,271,868,2206
C07,hard,LV,pre,251,1020,1488
C07,hayed,LV,pre,311,655,2693
C07,head,LV,pre,127,426,1128
C07,hear,LV,pre,326,858,2676
C07,heard,LV,pre,310,1078,1897
C07,heed,LV,pre,247,485,3078
C07,hid,LV,pre,125,799,2531
C07,hide,LV,pre,332,1007,1843
C07,hoard,LV,pre,301,655,1141
C07,hod,LV,pre,123,759,1332
C07,hoed,LV,pre,363,484,2067
C07,hood,LV,pre,181,789,1978
C07,howd,LV,pre,333,1099,1810
C07,hoyd,LV,pre,282,492,1915
C07,hud,LV,pre,144,1168,1775
C07,whod,LV,pre,166,474,1646
C08,had,LV,pre,188,1038,1851
C08,haired,LV,pre,273,902,2068
C08,hard,LV,pre,180,886,1445
C08,hayed,LV,pre,205,611,2614
C08,head,LV,pre,134,602,1295
C08,hear,LV,pre,244,569,2416
C08,heard,LV,pre,194,636,1706
C08,heed,LV,pre,171,467,3205
C08,hid,LV,pre,125,468,3083
C08,hide,LV,pre,267,947,1769
C08,hoard,LV,pre,167,722,1385
C08,hod,LV,pre,183,500,1349
C08,hoed,LV,pre,257,525,2421
C08,hood,LV,pre,140,561,2719
C08,howd,LV,pre,224,1007,1509
C08,hoyd,LV,pre,287,593,1666
C08,hud,LV,pre,142,660,1839
C08,whod,LV,pre,213,450,1929
C09,had,LV,pre,127,937,1687
C09,haired,LV,pre,215,748,2290
C09,hard,LV,pre,263,988,1503
C09,hayed,LV,pre,304,448,2178
C09,head,LV,pre,100,559,2524
C09,hear,LV,pre,214,813,2241
C09,heard,LV,pre,250,947,1658
C09,heed,LV,pre,271,648,2307
C09,hid,LV,pre,151,687,2370
C09,hide,LV,pre,319,1008,1663
C09,hoard,LV,pre,105,342,1343
C09,hod,LV,pre,102,708,1539
C09,hoed,LV,pre,228,582,1962
C09,hood,LV,pre,135,722,2187
C09,howd,LV,pre,271,510,1284
C09,hoyd,LV,pre,263,850,1599
C09,hud,LV,pre,155,836,1659
C09,whod,LV,pre,240,520,2131
